[Gene ID]	[source_id]	[Product Description]	[Input ID]	
Tb927.10.7000	Tb927.10.7000:mRNA	hypothetical protein, conserved	Tb927.10.7000	
Tb927.10.7020	Tb927.10.7020.1	acid phosphatase, putative	Tb927.10.7020	
Tb927.10.7020	Tb927.10.7020.2	acid phosphatase, putative	Tb927.10.7020	
Tb927.10.7040	Tb927.10.7040:mRNA	hypothetical protein, conserved	Tb927.10.7040	
Tb927.10.7060	Tb927.10.7060:mRNA	Nucleoporin NUP96	Tb927.10.7060	
Tb927.10.7080	Tb927.10.7080:mRNA	ATP-dependent DEAD/H RNA helicase, putative	Tb927.10.7080	
Tb927.10.7100	Tb927.10.7100:mRNA	delta-4 fatty acid desaturase	Tb927.10.7100	
Tb927.10.7110	Tb927.10.7110:mRNA	Myo-inositol 1-phosphate synthase	Tb927.10.7110	
Tb927.10.7120	Tb927.10.7120:mRNA	hypothetical protein, conserved	Tb927.10.7120	
Tb927.10.7130	Tb927.10.7130:mRNA	hypothetical protein, conserved	Tb927.10.7130	
Tb927.10.7150	Tb927.10.7150:mRNA	hypothetical protein	Tb927.10.7150	
Tb927.10.7170	Tb927.10.7170:mRNA	hypothetical protein	Tb927.10.7170	
Tb927.10.7180	Tb927.10.7180:mRNA	cysteine-rich, acidic integral membrane protein precursor	Tb927.10.7180	
Tb927.10.7190	Tb927.10.7190:mRNA	D-tyrosyl-tRNA deacylase, putative	Tb927.10.7190	
Tb927.10.720	Tb927.10.720:mRNA	Flagellum attachment zone protein 24	Tb927.10.720	
Tb927.10.7240	Tb927.10.7240:mRNA	kinetoplastid kinetochore protein 14	Tb927.10.7240	
Tb927.10.7250	Tb927.10.7250:mRNA	hypothetical protein, conserved	Tb927.10.7250	
Tb927.10.7270	Tb927.10.7270:mRNA	hypothetical protein, conserved	Tb927.10.7270	
Tb927.10.7280	Tb927.10.7280:mRNA	pre-mRNA splicing factor ATP-dependent RNA helicase, putative	Tb927.10.7280	
Tb927.10.7310	Tb927.10.7310:mRNA	terminal uridylyltransferase 3, putative	Tb927.10.7310	
Tb927.10.7320	Tb927.10.7320:mRNA	hypothetical protein, conserved	Tb927.10.7320	
Tb927.10.7330	Tb927.10.7330:mRNA	40S ribosomal protein S24E, putative	Tb927.10.7330	
Tb927.10.7350	Tb927.10.7350:mRNA	hypothetical protein, conserved	Tb927.10.7350	
Tb927.10.7360	Tb927.10.7360:mRNA	ATP-binding cassette protein, putative	Tb927.10.7360	
Tb927.10.7370	Tb927.10.7370:mRNA	hypothetical protein, conserved	Tb927.10.7370	
Tb927.10.7380	Tb927.10.7380:mRNA	LSU ribosomal protein, mitochondrial, putative	Tb927.10.7380	
Tb927.10.740	Tb927.10.740:mRNA	structural maintenance of chromosome 4, putative	Tb927.10.740	
Tb927.10.7400	Tb927.10.7400:mRNA	predicted zinc finger protein	Tb927.10.7400	
Tb927.10.7410	Tb927.10.7410:mRNA	succinyl-CoA ligase [GDP-forming] beta-chain, putative	Tb927.10.7410	
Tb927.10.7420	Tb927.10.7420:mRNA	bromodomain factor 2 protein, putative	Tb927.10.7420	
Tb927.10.7440	Tb927.10.7440:mRNA	ATP-dependent RNA helicase MTR4	Tb927.10.7440	
Tb927.10.7480	Tb927.10.7480:mRNA	hypothetical protein, conserved	Tb927.10.7480	
Tb927.10.750	Tb927.10.750:mRNA	hypothetical protein, conserved	Tb927.10.750	
Tb927.10.7510	Tb927.10.7510:mRNA	chromatin binding protein, putative	Tb927.10.7510	
Tb927.10.7520	Tb927.10.7520:mRNA	folylpolyglutamate synthase, putative	Tb927.10.7520	
Tb927.10.7530	Tb927.10.7530:mRNA	hypothetical protein	Tb927.10.7530	
Tb927.10.7550	Tb927.10.7550.1:mRNA	hypothetical protein, conserved	Tb927.10.7550	
Tb927.10.7550	Tb927.10.7550.2:mRNA	hypothetical protein, conserved	Tb927.10.7550	
Tb927.10.7560	Tb927.10.7560:mRNA	methyltransferase domain containing protein, putative	Tb927.10.7560	
Tb927.10.7570	Tb927.10.7570:mRNA	dihydrolipoamide acetyltransferase E2 subunit, putative	Tb927.10.7570	
Tb927.10.7580	Tb927.10.7580:mRNA	hypothetical protein, conserved	Tb927.10.7580	
Tb927.10.7590	Tb927.10.7590:mRNA	hypothetical protein, conserved	Tb927.10.7590	
Tb927.10.760	Tb927.10.760:mRNA	hypothetical protein, conserved	Tb927.10.760	
Tb927.10.7610	Tb927.10.7610:mRNA	NADH-ubiquinone oxidoreductase complex I subunit, putative	Tb927.10.7610	
Tb927.10.7630	Tb927.10.7630:mRNA	transportin2- like protein	Tb927.10.7630	
Tb927.10.7650	Tb927.10.7650:mRNA	hypothetical protein	Tb927.10.7650	
Tb927.10.7670	Tb927.10.7670:mRNA	Protein of unknown function (DUF2962), putative	Tb927.10.7670	
Tb927.10.7700	Tb927.10.7700:mRNA	ATP-binding cassette protein subfamily G	Tb927.10.7700	
Tb927.10.7710	Tb927.10.7710:mRNA	40S ribosomal protein S8, putative	Tb927.10.7710	
Tb927.10.7720	Tb927.10.7720:mRNA	hypothetical protein, conserved	Tb927.10.7720	
Tb927.10.7730	Tb927.10.7730:mRNA	Domain of unknown function (DUF4496), putative	Tb927.10.7730	
Tb927.10.7740	Tb927.10.7740:mRNA	protein transport protein SEC23	Tb927.10.7740	
Tb927.10.7760	Tb927.10.7760:mRNA	hypothetical protein, conserved	Tb927.10.7760	
Tb927.10.7770	Tb927.10.7770:mRNA	hypothetical protein	Tb927.10.7770	
Tb927.10.7780	Tb927.10.7780:mRNA	Mitogen-activated protein kinase KFR1	Tb927.10.7780	
Tb927.10.780	Tb927.10.780:mRNA	Ring finger domain containing protein, putative	Tb927.10.780	
Tb927.10.7820	Tb927.10.7820:mRNA	hypothetical protein, conserved	Tb927.10.7820	
Tb927.10.7830	Tb927.10.7830:mRNA	hypothetical protein, conserved	Tb927.10.7830	
Tb927.10.7850	Tb927.10.7850:mRNA	protein-L-isoaspartate, putative	Tb927.10.7850	
Tb927.10.7870	Tb927.10.7870:mRNA	hypothetical protein, conserved	Tb927.10.7870	
Tb927.10.7880	Tb927.10.7880:mRNA	Sperm tail/Sperm tail C-terminal domain containing protein, putative	Tb927.10.7880	
Tb927.10.7890	Tb927.10.7890:mRNA	hypothetical protein, conserved	Tb927.10.7890	
Tb927.10.790	Tb927.10.790:mRNA	vesicle-associated membrane protein, putative	Tb927.10.790	
Tb927.10.7900	Tb927.10.7900:mRNA	hypothetical protein, conserved	Tb927.10.7900	
Tb927.10.7930	Tb927.10.7930:mRNA	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	Tb927.10.7930	
Tb927.10.7940	Tb927.10.7940:mRNA	methyltransferase, putative	Tb927.10.7940	
Tb927.10.7960	Tb927.10.7960:mRNA	hypothetical protein, conserved	Tb927.10.7960	
Tb927.10.7970	Tb927.10.7970:mRNA	Organic solute transporter Ostalpha, putative	Tb927.10.7970	
Tb927.10.7980	Tb927.10.7980:mRNA	hypothetical protein, conserved	Tb927.10.7980	
Tb927.10.7990	Tb927.10.7990:mRNA	replication factor C subunit 3, putative	Tb927.10.7990	
Tb927.10.800	Tb927.10.800:mRNA	hypothetical protein, conserved	Tb927.10.800	
Tb927.10.8020	Tb927.10.8020:mRNA	prolyl endopeptidase	Tb927.10.8020	
Tb927.10.8040	Tb927.10.8040:mRNA	beta adaptin, putative	Tb927.10.8040	
Tb927.10.8050	Tb927.10.8050:mRNA	TFIIF-stimulated CTD phosphatase, putative	Tb927.10.8050	
Tb927.10.8060	Tb927.10.8060:mRNA	SET domain containing protein, putative	Tb927.10.8060	
Tb927.10.8070	Tb927.10.8070:mRNA	ATPase, putative	Tb927.10.8070	
Tb927.10.8080	Tb927.10.8080:mRNA	Uncharacterized conserved protein (DUF2042), putative	Tb927.10.8080	
Tb927.10.810	Tb927.10.810:mRNA	Pentatricopeptide repeat protein (PPR), putative	Tb927.10.810	
Tb927.10.8100	Tb927.10.8100:mRNA	hypothetical protein, conserved	Tb927.10.8100	
Tb927.10.8120	Tb927.10.8120.1:mRNA	RNA ligase/AAA domain containing protein, putative	Tb927.10.8120	
Tb927.10.8120	Tb927.10.8120.2:mRNA	RNA ligase/AAA domain containing protein, putative	Tb927.10.8120	
Tb927.10.8140	Tb927.10.8140:mRNA	EVE domain containing protein, putative	Tb927.10.8140	
Tb927.10.8150	Tb927.10.8150:mRNA	Bromodomain factor 1	Tb927.10.8150	
Tb927.10.8170	Tb927.10.8170:mRNA	Nucleoporin NUP144	Tb927.10.8170	
Tb927.10.8180	Tb927.10.8180:mRNA	hypothetical protein, conserved	Tb927.10.8180	
Tb927.10.8190	Tb927.10.8190:mRNA	T-complex protein 1, theta subunit, putative	Tb927.10.8190	
Tb927.10.820	Tb927.10.820:mRNA	hypothetical protein, conserved	Tb927.10.820	
Tb927.10.8200	Tb927.10.8200:mRNA	Ribosomal protein L1p/L10e family, putative	Tb927.10.8200	
Tb927.10.8210	Tb927.10.8210:mRNA	KREPA2	Tb927.10.8210	
Tb927.10.8220	Tb927.10.8220.1:mRNA	hypothetical protein, conserved	Tb927.10.8220	
Tb927.10.8220	Tb927.10.8220.2:mRNA	hypothetical protein, conserved	Tb927.10.8220	
Tb927.10.8230	Tb927.10.8230:mRNA	protein disulfide isomerase 2	Tb927.10.8230	
Tb927.10.8240	Tb927.10.8240:mRNA	hypothetical protein, conserved	Tb927.10.8240	
Tb927.10.8250	Tb927.10.8250:mRNA	hypothetical protein, conserved	Tb927.10.8250	
Tb927.10.8270	Tb927.10.8270:mRNA	eukaryotic translation initiation factor 3 subunit c	Tb927.10.8270	
Tb927.10.8310	Tb927.10.8310:mRNA	histone acetyltransferase	Tb927.10.8310	
Tb927.10.8340	Tb927.10.8340:mRNA	hypothetical protein	Tb927.10.8340	
Tb927.10.8360	Tb927.10.8360.1:mRNA	Poly(A)-specific ribonuclease PARN-2	Tb927.10.8360	
Tb927.10.8360	Tb927.10.8360.2:mRNA	Poly(A)-specific ribonuclease PARN-2	Tb927.10.8360	
Tb927.10.8380	Tb927.10.8380:mRNA	hypothetical protein, conserved	Tb927.10.8380	
Tb927.10.8390	Tb927.10.8390:mRNA	Concanavalin A-like lectin/glucanases superfamily/SPRY domain/HECT-domain (ubiquitin-transferase), putative	Tb927.10.8390	
Tb927.10.8400	Tb927.10.8400:mRNA	legume-like lectin, putative	Tb927.10.8400	
Tb927.10.8410	Tb927.10.8410:mRNA	hypothetical protein, conserved	Tb927.10.8410	
Tb927.10.8440	Tb927.10.8440:mRNA	glucose transporter 1B	Tb927.10.8440	
Tb927.10.850	Tb927.10.850:mRNA	hook complex protein, conserved	Tb927.10.850	
Tb927.10.8530	Tb927.10.8530:mRNA	glucose transporter 2A	Tb927.10.8530	
Tb927.10.8560	Tb927.10.8560:mRNA	small GTPase, putative	Tb927.10.8560	
Tb927.10.8570	Tb927.10.8570:mRNA	hypothetical protein, conserved	Tb927.10.8570	
Tb927.10.8580	Tb927.10.8580:mRNA	ADP-ribosylation factor-like protein 3b, putative	Tb927.10.8580	
Tb927.10.8610	Tb927.10.8610:mRNA	hypothetical protein, conserved	Tb927.10.8610	
Tb927.10.8620	Tb927.10.8620:mRNA	hypothetical protein, conserved	Tb927.10.8620	
Tb927.10.8630	Tb927.10.8630:mRNA	Sucrase/ferredoxin-like, putative	Tb927.10.8630	
Tb927.10.8640	Tb927.10.8640:mRNA	Galactose oxidase, central domain containing protein, putative	Tb927.10.8640	
Tb927.10.8660	Tb927.10.8660:mRNA	Fis1 C-terminal tetratricopeptide repeat, putative	Tb927.10.8660	
Tb927.10.8670	Tb927.10.8670:mRNA	hypothetical protein, conserved	Tb927.10.8670	
Tb927.10.8680	Tb927.10.8680:mRNA	hypothetical protein, conserved	Tb927.10.8680	
Tb927.10.8690	Tb927.10.8690:mRNA	TIGR00269 family protein, putative	Tb927.10.8690	
Tb927.10.870	Tb927.10.870:mRNA	Furrow 1 protein	Tb927.10.870	
Tb927.10.8710	Tb927.10.8710:mRNA	centrin-3	Tb927.10.8710	
Tb927.10.8720	Tb927.10.8720:mRNA	CCR4-NOT transcription complex subunit 10, putative	Tb927.10.8720	
Tb927.10.8750	Tb927.10.8750:mRNA	GTPase activating protein, putative	Tb927.10.8750	
Tb927.10.8760	Tb927.10.8760:mRNA	hypothetical protein, conserved	Tb927.10.8760	
Tb927.10.8780	Tb927.10.8780:mRNA	AAA domain containing protein, putative	Tb927.10.8780	
Tb927.10.8790	Tb927.10.8790:mRNA	OTU-like cysteine protease, putative	Tb927.10.8790	
Tb927.10.8800	Tb927.10.8800:mRNA	SUMO-interacting motif-containing protein	Tb927.10.8800	
Tb927.10.8810	Tb927.10.8810:mRNA	hypothetical protein, conserved	Tb927.10.8810	
Tb927.10.8820	Tb927.10.8820:mRNA	hook complex protein, conserved	Tb927.10.8820	
Tb927.10.8840	Tb927.10.8840:mRNA	SUMO-interacting motif-containing protein	Tb927.10.8840	
Tb927.10.8850	Tb927.10.8850:mRNA	A distinct subfamily of CDD/CDA-like deaminases, putative	Tb927.10.8850	
Tb927.10.8860	Tb927.10.8860:mRNA	hypothetical protein, conserved	Tb927.10.8860	
Tb927.10.8870	Tb927.10.8870:mRNA	Myosin-like coiled-coil protein, putative	Tb927.10.8870	
Tb927.10.8880	Tb927.10.8880:mRNA	RNA interference factor 4	Tb927.10.8880	
Tb927.10.8890	Tb927.10.8890:mRNA	kinetoplast DNA-associated protein, putative	Tb927.10.8890	
Tb927.10.890	Tb927.10.890:mRNA	kinesin, putative	Tb927.10.890	
Tb927.10.8900	Tb927.10.8900:mRNA	choline/ethanolamine phosphotransferase (CEPT)	Tb927.10.8900	
Tb927.10.8930	Tb927.10.8930:mRNA	paraflagellar rod component, putative	Tb927.10.8930	
Tb927.10.8940	Tb927.10.8940:mRNA	flagellum targeting protein kharon1, putative	Tb927.10.8940	
Tb927.10.8960	Tb927.10.8960:mRNA	hypothetical protein, conserved	Tb927.10.8960	
Tb927.10.8980	Tb927.10.8980:mRNA	hypothetical protein, conserved	Tb927.10.8980	
Tb927.10.8990	Tb927.10.8990:mRNA	hypothetical protein, conserved	Tb927.10.8990	
Tb927.10.900	Tb927.10.900:mRNA	hypothetical protein, conserved	Tb927.10.900	
Tb927.10.9000	Tb927.10.9000:mRNA	Mitochondrial processome subunit 2	Tb927.10.9000	
Tb927.10.9010	Tb927.10.9010:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.10.9010	
Tb927.10.9020	Tb927.10.9020:mRNA	Gcd10p family, putative	Tb927.10.9020	
Tb927.10.9030	Tb927.10.9030:mRNA	Mechanosensitive ion channel MscS, putative	Tb927.10.9030	
Tb927.10.9040	Tb927.10.9040:mRNA	hypothetical protein, conserved	Tb927.10.9040	
Tb927.10.9050	Tb927.10.9050:mRNA	pseudouridine synthase TruD, putative	Tb927.10.9050	
Tb927.10.9060	Tb927.10.9060:mRNA	hypothetical protein, conserved	Tb927.10.9060	
Tb927.10.9070	Tb927.10.9070:mRNA	hypothetical protein, conserved	Tb927.10.9070	
Tb927.10.9080	Tb927.10.9080:mRNA	pteridine transporter, putative	Tb927.10.9080	
Tb927.10.9090	Tb927.10.9090:mRNA	Cullin binding, putative	Tb927.10.9090	
Tb927.10.910	Tb927.10.910:mRNA	DNA repair and recombination helicase protein PIF6	Tb927.10.910	
Tb927.10.9100	Tb927.10.9100:mRNA	hypothetical protein, conserved	Tb927.10.9100	
Tb927.10.9120	Tb927.10.9120:mRNA	hypothetical protein, conserved	Tb927.10.9120	
Tb927.10.9140	Tb927.10.9140:mRNA	FAD dependent oxidoreductase, putative	Tb927.10.9140	
Tb927.10.9150	Tb927.10.9150:mRNA	hypothetical protein, conserved	Tb927.10.9150	
Tb927.10.9170	Tb927.10.9170:mRNA	hypothetical protein, conserved	Tb927.10.9170	
Tb927.10.9180	Tb927.10.9180:mRNA	PRA1 family protein, putative	Tb927.10.9180	
Tb927.10.9190	Tb927.10.9190.1:mRNA	isoleucyl-tRNA synthetase, putative	Tb927.10.9190	
Tb927.10.9190	Tb927.10.9190.2:mRNA	isoleucyl-tRNA synthetase, putative	Tb927.10.9190	
Tb927.10.9200	Tb927.10.9200:mRNA	Nuclease-related domain containing protein, putative	Tb927.10.9200	
Tb927.10.9220	Tb927.10.9220:mRNA	hypothetical protein, conserved	Tb927.10.9220	
Tb927.10.9230	Tb927.10.9230:mRNA	beta adaptin, putative	Tb927.10.9230	
Tb927.10.9270	Tb927.10.9270:mRNA	emp24/gp25L/p24 family/GOLD, putative	Tb927.10.9270	
Tb927.10.9300	Tb927.10.9300:mRNA	adiponectin receptor protein 1	Tb927.10.9300	
Tb927.10.9310	Tb927.10.9310:mRNA	Haemolysin-III related, putative	Tb927.10.9310	
Tb927.10.9320	Tb927.10.9320:mRNA	hypothetical protein, conserved	Tb927.10.9320	
Tb927.10.9330	Tb927.10.9330:mRNA	hypothetical protein, conserved	Tb927.10.9330	
Tb927.10.9350	Tb927.10.9350:mRNA	hypothetical protein, conserved	Tb927.10.9350	
Tb927.10.9360	Tb927.10.9360:mRNA	L-2-hydroxyglutarate dehydrogenase, mitochondrial, putative	Tb927.10.9360	
Tb927.10.9390	Tb927.10.9390:mRNA	Macrocin-O-methyltransferase (TylF), putative	Tb927.10.9390	
Tb927.10.940	Tb927.10.940:mRNA	hypothetical protein, conserved	Tb927.10.940	
Tb927.10.9410	Tb927.10.9410:mRNA	Selenophosphate synthetase 2	Tb927.10.9410	
Tb927.10.9420	Tb927.10.9420:mRNA	mitochondrial chaperone BCS1, putative	Tb927.10.9420	
Tb927.10.9440	Tb927.10.9440:mRNA	NADH dehydrogenase	Tb927.10.9440	
Tb927.10.9450	Tb927.10.9450:mRNA	invariant surface glycoprotein, putative	Tb927.10.9450	
Tb927.10.9490	Tb927.10.9490:mRNA	expression site-associated gene 3 (ESAG3)-like protein	Tb927.10.9490	
Tb927.10.950	Tb927.10.950:mRNA	hypothetical protein, conserved	Tb927.10.950	
Tb927.10.9510	Tb927.10.9510:mRNA	hypothetical protein	Tb927.10.9510	
Tb927.10.9550	Tb927.10.9550:mRNA	hypothetical protein	Tb927.10.9550	
Tb927.10.9570	Tb927.10.9570:mRNA	paraflagellar rod component, putative	Tb927.10.9570	
Tb927.10.960	Tb927.10.960:mRNA	U4/U6-specific protein PRP4	Tb927.10.960	
Tb927.10.9630	Tb927.10.9630:mRNA	hypothetical protein	Tb927.10.9630	
Tb927.10.9650	Tb927.10.9650:mRNA	Nucleoporin NUP152	Tb927.10.9650	
Tb927.10.9670	Tb927.10.9670:mRNA	ADP-ribosylation factor family, putative	Tb927.10.9670	
Tb927.10.9680	Tb927.10.9680:mRNA	SET domain containing protein, putative	Tb927.10.9680	
Tb927.10.9690	Tb927.10.9690:mRNA	predicted C2 domain protein	Tb927.10.9690	
Tb927.10.970	Tb927.10.970:mRNA	Tetratricopeptide repeat, putative	Tb927.10.970	
Tb927.10.9720	Tb927.10.9720:mRNA	RNA-editing-associated protein 1	Tb927.10.9720	
Tb927.10.9730	Tb927.10.9730:mRNA	hypothetical protein, conserved	Tb927.10.9730	
Tb927.10.9740	Tb927.10.9740:mRNA	Regulatory particle triple-A ATPase subunit 6	Tb927.10.9740	
Tb927.10.9750	Tb927.10.9750:mRNA	ubiquitin-protein ligase, putative	Tb927.10.9750	
Tb927.10.9770	Tb927.10.9770:mRNA	gamma-tubulin complex component 2	Tb927.10.9770	
Tb927.10.9790	Tb927.10.9790:mRNA	hypothetical protein, conserved	Tb927.10.9790	
Tb927.10.980	Tb927.10.980:mRNA	RNA polymerase III transcription factor (TF)IIIC subunit, putative	Tb927.10.980	
Tb927.10.9800	Tb927.10.9800:mRNA	60S ribosomal protein L22	Tb927.10.9800	
Tb927.10.9810	Tb927.10.9810:mRNA	hypothetical protein, conserved	Tb927.10.9810	
Tb927.10.9830	Tb927.10.9830:mRNA	Mitochondrial ATP synthase subunit, putative	Tb927.10.9830	
Tb927.10.9840	Tb927.10.9840:mRNA	chaperone protein DnaJ, putative	Tb927.10.9840	
Tb927.10.9930	Tb927.10.9930:mRNA	PHD-zinc-finger like domain containing protein, putative	Tb927.10.9930	
Tb927.10.9940	Tb927.10.9940:mRNA	Predicted membrane protein, putative	Tb927.10.9940	
Tb927.10.9950	Tb927.10.9950:mRNA	hypothetical protein, conserved	Tb927.10.9950	
Tb927.10.9960	Tb927.10.9960:mRNA	hypothetical protein, conserved	Tb927.10.9960	
Tb927.10.9990	Tb927.10.9990:mRNA	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family, putative	Tb927.10.9990	
Tb927.11.10000	Tb927.11.10000:mRNA	Charged multivesicular body protein 3, putative	Tb11.01.1760	
Tb927.11.10010	Tb927.11.10010:mRNA	vacuolar sorting-associated protein-like, putative	Tb11.01.1770	
Tb927.11.10040	Tb927.11.10040:mRNA	hypothetical protein, conserved	Tb11.01.1800	
Tb927.11.10050	Tb927.11.10050:mRNA	LSU ribosomal protein, mitochondrial, putative	Tb11.01.1810	
Tb927.11.10060	Tb927.11.10060:mRNA	Biotin--acetyl-CoA-carboxylase ligase, putative	Tb11.01.1820	
Tb927.11.10080	Tb927.11.10080:mRNA	LSU ribosomal protein, mitochondrial, putative	Tb11.01.1840	
Tb927.11.10090	Tb927.11.10090:mRNA	hypothetical protein, conserved	Tb11.01.1850	
Tb927.11.10120	Tb927.11.10120:mRNA	hypothetical protein, conserved	Tb11.01.1880	
Tb927.11.10130	Tb927.11.10130:mRNA	hypothetical protein, conserved	Tb11.01.1890	
Tb927.11.10140	Tb927.11.10140:mRNA	hypothetical protein, conserved	Tb11.01.1900	
Tb927.11.10150	Tb927.11.10150:mRNA	Enoyl-CoA hydratase/isomerase family, putative	Tb11.01.1910	
Tb927.11.10160	Tb927.11.10160:mRNA	60S ribosomal protein L22, putative	Tb11.01.1920	
Tb927.11.10170	Tb927.11.10170:mRNA	Mitochondrial ribosomal protein L20	Tb11.01.1930	
Tb927.11.10180	Tb927.11.10180:mRNA	hypothetical protein, conserved	Tb11.01.1940	
Tb927.11.1020	Tb927.11.1020:mRNA	ribokinase, putative	Tb11.03.0090	
Tb927.11.10210	Tb927.11.10210:mRNA	hypothetical protein, conserved	Tb11.01.1970	
Tb927.11.10230	Tb927.11.10230:mRNA	RNA polymerase-associated protein CDC73, putative	Tb11.01.1990	
Tb927.11.10240	Tb927.11.10240:mRNA	ATP-dependent protease subunit HslV	Tb11.01.2000	
Tb927.11.10250	Tb927.11.10250:mRNA	hypothetical protein, conserved	Tb11.01.2010	
Tb927.11.10270	Tb927.11.10270:mRNA	Golgi SNAP receptor complex member 1, putative	Tb11.01.2030	
Tb927.11.10280	Tb927.11.10280:mRNA	metallo-peptidase, Clan MC, Family M14, putative	Tb11.01.2050	
Tb927.11.1030	Tb927.11.1030:mRNA	kinetoplastid kinetochore protein 7	Tb11.03.0080	
Tb927.11.10300	Tb927.11.10300:mRNA	hypothetical protein, conserved	Tb11.01.2070	
Tb927.11.10330	Tb927.11.10330:mRNA	regulator of chromosome condensation 1-like protein	Tb11.01.2100	
Tb927.11.10340	Tb927.11.10340:mRNA	Serine/threonine-protein phosphatase PGAM5, mitochondrial, putative	Tb11.01.2110	
Tb927.11.10380	Tb927.11.10380:mRNA	hypothetical protein, conserved	Tb11.01.2150	
Tb927.11.10400	Tb927.11.10400:mRNA	SSU ribosomal protein, mitochondrial, putative	Tb11.01.2170	
Tb927.11.10440	Tb927.11.10440:mRNA	hypothetical protein, conserved	Tb11.01.2210	
Tb927.11.10460	Tb927.11.10460:mRNA	dna replication complex gins protein psf2	Tb11.01.2230	
Tb927.11.10470	Tb927.11.10470:mRNA	hypothetical protein, conserved	Tb11.01.2240	
Tb927.11.1050	Tb927.11.1050:mRNA	ribosome production factor 1, putative	Tb11.03.0050	
Tb927.11.10500	Tb927.11.10500:mRNA	hypothetical protein, conserved	Tb11.01.2270	
Tb927.11.10510	Tb927.11.10510:mRNA	ubiquinone biosynthesis methyltransferase, putative	Tb11.01.2280	
Tb927.11.10520	Tb927.11.10520:mRNA	kinetoplastid kinetochore protein 2	Tb11.01.2290	
Tb927.11.10540	Tb927.11.10540:mRNA	hypothetical protein, conserved	Tb11.01.2310	
Tb927.11.10560	Tb927.11.10560:mRNA	eukaryotic translation initiation factor 4 gamma 4	Tb11.01.2330	
Tb927.11.10570	Tb927.11.10570:mRNA	LSU ribosomal protein, mitochondrial, putative	Tb11.01.2340	
Tb927.11.1060	Tb927.11.1060:mRNA	Vasohibin, putative	Tb11.03.0040	
Tb927.11.10600	Tb927.11.10600:mRNA	hypothetical protein, conserved	Tb11.01.2370	
Tb927.11.10610	Tb927.11.10610:mRNA	hypothetical protein, conserved	Tb11.01.2380	
Tb927.11.10620	Tb927.11.10620:mRNA	hypothetical protein, conserved	Tb11.01.2390	
Tb927.11.10630	Tb927.11.10630:mRNA	hypothetical protein, conserved	Tb11.01.2400	
Tb927.11.10640	Tb927.11.10640:mRNA	DNA-(apurinic or apyrimidinic site) lyase, putative	Tb11.01.2410	
Tb927.11.10660	Tb927.11.10660:mRNA	Basal body protein	Tb11.01.2430	
Tb927.11.10720	Tb927.11.10720:mRNA	hypothetical protein, conserved	Tb11.01.2490	
Tb927.11.10740	Tb927.11.10740:mRNA	vacuolar sorting-associated protein-like, putative	Tb11.01.2510	
Tb927.11.10760	Tb927.11.10760:mRNA	kinesin-D	Tb11.01.2530	
Tb927.11.1080	Tb927.11.1080:mRNA	Nucleolar protein 60	Tb11.03.0020	
Tb927.11.10800	Tb927.11.10800:mRNA	Domain of unknown function (DUF4496), putative	Tb11.01.2570	
Tb927.11.10810	Tb927.11.10810:mRNA	pumillio/PUF RNA binding protein 11	Tb11.01.2580	
Tb927.11.10830	Tb927.11.10830:mRNA	hypothetical protein	Tb11.01.2600	
Tb927.11.10850	Tb927.11.10850:mRNA	hypothetical protein, conserved	Tb11.01.2620	
Tb927.11.10860	Tb927.11.10860:mRNA	20S-pre-rRNA D-site endonuclease NOB1	Tb11.01.2630	
Tb927.11.10870	Tb927.11.10870:mRNA	32 kDa ER-associated protein	Tb11.01.2640	
Tb927.11.10880	Tb927.11.10880:mRNA	hypothetical protein, conserved	Tb11.01.2650	
Tb927.11.10890	Tb927.11.10890:mRNA	hypothetical protein, conserved	Tb11.01.2660	
Tb927.11.1090	Tb927.11.1090:mRNA	calpain-like protein, putative	Tb11.57.0008	
Tb927.11.10900	Tb927.11.10900:mRNA	Component of motile flagella 9	Tb11.01.2670	
Tb927.11.10950	Tb927.11.10950:mRNA	DnaJ domain containing protein, putative	Tb11.01.2720	
Tb927.11.10960	Tb927.11.10960:mRNA	2OG-Fe(II) oxygenase superfamily, putative	Tb11.01.2740	
Tb927.11.10980	Tb927.11.10980:mRNA	Got1/Sft2-like family, putative	Tb11.01.2770	
Tb927.11.10990	Tb927.11.10990:mRNA	methylthioribose-1-phosphate isomerase, putative	Tb11.01.2780	
Tb927.11.1100	Tb927.11.1100:mRNA	cysteine peptidase, Clan CA, family C2, putative	Tb11.47.0036	
Tb927.11.11000	Tb927.11.11000:mRNA	Calponin homology (CH) domain containing protein, putative	Tb11.01.2790	
Tb927.11.11020	Tb927.11.11020:mRNA	hypothetical protein, conserved	Tb11.01.2810	
Tb927.11.11040	Tb927.11.11040:mRNA	hypothetical protein, conserved	Tb11.01.2830	
Tb927.11.11050	Tb927.11.11050:mRNA	hypothetical protein, conserved	Tb11.01.2840	
Tb927.11.11080	Tb927.11.11080:mRNA	Nucleoporin NUP149	Tb11.01.2880	
Tb927.11.11090	Tb927.11.11090:mRNA	Nucleoporin NUP140	Tb11.01.2885	
Tb927.11.11100	Tb927.11.11100:mRNA	glucosamine 6-phosphate N-acetyltransferase	Tb11.01.2886	
