Gene ID	source_id	Product Description	Input ID	
Tb927.11.10010	Tb927.11.10010:mRNA	vacuolar sorting-associated protein-like, putative	Tb11.01.1770	
Tb927.11.10020	Tb927.11.10020:mRNA	short-chain dehydrogenase, putative	Tb11.01.1780	
Tb927.11.10030	Tb927.11.10030:mRNA	60S ribosomal protein L29, putative	Tb11.01.1790	
Tb927.11.10040	Tb927.11.10040:mRNA	hypothetical protein, conserved	Tb11.01.1800	
Tb927.11.10060	Tb927.11.10060:mRNA	Biotin--acetyl-CoA-carboxylase ligase, putative	Tb11.01.1820	
Tb927.11.10070	Tb927.11.10070:mRNA	Bromodomain, putative	Tb11.01.1830	
Tb927.11.10090	Tb927.11.10090:mRNA	hypothetical protein, conserved	Tb11.01.1850	
Tb927.11.1010	Tb927.11.1010:mRNA	chaperone protein DnaJ, putative	Tb11.03.0110	
Tb927.11.10120	Tb927.11.10120:mRNA	hypothetical protein, conserved	Tb11.01.1880	
Tb927.11.10140	Tb927.11.10140:mRNA	hypothetical protein, conserved	Tb11.01.1900	
Tb927.11.10160	Tb927.11.10160:mRNA	60S ribosomal protein L22, putative	Tb11.01.1920	
Tb927.11.1020	Tb927.11.1020:mRNA	ribokinase, putative	Tb11.03.0090	
Tb927.11.10200	Tb927.11.10200:mRNA	hypothetical protein, conserved	Tb11.01.1960	
Tb927.11.10220	Tb927.11.10220:mRNA	hypothetical protein, conserved	Tb11.01.1980	
Tb927.11.10230	Tb927.11.10230:mRNA	RNA polymerase-associated protein CDC73, putative	Tb11.01.1990	
Tb927.11.10240	Tb927.11.10240:mRNA	ATP-dependent protease subunit HslV	Tb11.01.2000	
Tb927.11.10260	Tb927.11.10260:mRNA	hypothetical protein, conserved	Tb11.01.2020	
Tb927.11.1030	Tb927.11.1030:mRNA	kinetoplastid kinetochore protein 7	Tb11.03.0080	
Tb927.11.10340	Tb927.11.10340:mRNA	Serine/threonine-protein phosphatase PGAM5, mitochondrial, putative	Tb11.01.2110	
Tb927.11.10370	Tb927.11.10370:mRNA	glycosyl hydrolase-like protein	Tb11.01.2140	
Tb927.11.10380	Tb927.11.10380:mRNA	hypothetical protein, conserved	Tb11.01.2150	
Tb927.11.10430	Tb927.11.10430:mRNA	hypothetical protein, conserved	Tb11.01.2200	
Tb927.11.10440	Tb927.11.10440:mRNA	hypothetical protein, conserved	Tb11.01.2210	
Tb927.11.10450	Tb927.11.10450:mRNA	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase, putative	Tb11.01.2220	
Tb927.11.1050	Tb927.11.1050:mRNA	ribosome production factor 1, putative	Tb11.03.0050	
Tb927.11.10510	Tb927.11.10510:mRNA	ubiquinone biosynthesis methyltransferase, putative	Tb11.01.2280	
Tb927.11.10540	Tb927.11.10540:mRNA	hypothetical protein, conserved	Tb11.01.2310	
Tb927.11.10560	Tb927.11.10560:mRNA	eukaryotic translation initiation factor 4 gamma 4	Tb11.01.2330	
Tb927.11.10570	Tb927.11.10570:mRNA	LSU ribosomal protein, mitochondrial, putative	Tb11.01.2340	
Tb927.11.10580	Tb927.11.10580:mRNA	COG (conserved oligomeric Golgi) complex component, COG2/Domain of unknown function (DUF3510), putative	Tb11.01.2350	
Tb927.11.10600	Tb927.11.10600:mRNA	hypothetical protein, conserved	Tb11.01.2370	
Tb927.11.10620	Tb927.11.10620:mRNA	hypothetical protein, conserved	Tb11.01.2390	
Tb927.11.10640	Tb927.11.10640:mRNA	DNA-(apurinic or apyrimidinic site) lyase, putative	Tb11.01.2410	
Tb927.11.10650	Tb927.11.10650:mRNA	Adaptor protein complex AP-3 subunit beta-3	Tb11.01.2420	
Tb927.11.10660	Tb927.11.10660:mRNA	Basal body protein	Tb11.01.2430	
Tb927.11.10690	Tb927.11.10690:mRNA	hypothetical protein, conserved	Tb11.01.2460	
Tb927.11.1070	Tb927.11.1070:mRNA	glycosomal transporter (GAT3), putative	Tb11.03.0030	
Tb927.11.10740	Tb927.11.10740:mRNA	vacuolar sorting-associated protein-like, putative	Tb11.01.2510	
Tb927.11.10750	Tb927.11.10750:mRNA	pre-mRNA-splicing factor CWC22, putative	Tb11.01.2520	
Tb927.11.10760	Tb927.11.10760:mRNA	kinesin-D	Tb11.01.2530	
Tb927.11.10770	Tb927.11.10770:mRNA	VHS domain containing protein, putative	Tb11.01.2540	
Tb927.11.10780	Tb927.11.10780:mRNA	Voltage-dependent anion channel, putative	Tb11.01.2550	
Tb927.11.10800	Tb927.11.10800:mRNA	Domain of unknown function (DUF4496), putative	Tb11.01.2570	
Tb927.11.10840	Tb927.11.10840:mRNA	hypothetical protein, conserved	Tb11.01.2610	
Tb927.11.10860	Tb927.11.10860:mRNA	20S-pre-rRNA D-site endonuclease NOB1	Tb11.01.2630	
Tb927.11.10880	Tb927.11.10880:mRNA	hypothetical protein, conserved	Tb11.01.2650	
Tb927.11.1090	Tb927.11.1090:mRNA	calpain-like protein, putative	Tb11.57.0008	
Tb927.11.10910	Tb927.11.10910:mRNA	40S ribosomal protein SA, putative	Tb11.01.2680	
Tb927.11.10950	Tb927.11.10950:mRNA	DnaJ domain containing protein, putative	Tb11.01.2720	
Tb927.11.10960	Tb927.11.10960:mRNA	2OG-Fe(II) oxygenase superfamily, putative	Tb11.01.2740	
Tb927.11.10990	Tb927.11.10990:mRNA	methylthioribose-1-phosphate isomerase, putative	Tb11.01.2780	
Tb927.11.1100	Tb927.11.1100:mRNA	cysteine peptidase, Clan CA, family C2, putative	Tb11.47.0036	
Tb927.11.11000	Tb927.11.11000:mRNA	Calponin homology (CH) domain containing protein, putative	Tb11.01.2790	
Tb927.11.11010	Tb927.11.11010:mRNA	hypothetical protein, conserved	Tb11.01.2800	
Tb927.11.11030	Tb927.11.11030:mRNA	exosome-associated protein 4	Tb11.01.2820	
Tb927.11.11050	Tb927.11.11050:mRNA	hypothetical protein, conserved	Tb11.01.2840	
Tb927.11.11080	Tb927.11.11080:mRNA	Nucleoporin NUP149	Tb11.01.2880	
Tb927.11.11090	Tb927.11.11090:mRNA	Nucleoporin NUP140	Tb11.01.2885	
Tb927.11.11150	Tb927.11.11150:mRNA	U5 snRNP-specific 40 kDa protein	Tb11.01.2940	
Tb927.11.11170	Tb927.11.11170:mRNA	hypothetical protein, conserved	Tb11.01.2960	
Tb927.11.11210	Tb927.11.11210:mRNA	paraflagellar rod component, putative	Tb11.01.3000	
Tb927.11.11220	Tb927.11.11220:mRNA	dynein heavy chain, putative	Tb11.01.3010	
Tb927.11.11260	Tb927.11.11260:mRNA	hypothetical protein, conserved	Tb11.01.3050	
Tb927.11.11290	Tb927.11.11290:mRNA	heat shock protein 70, putative	Tb11.01.3080	
Tb927.11.1130	Tb927.11.1130:mRNA	calpain-like cysteine peptidase, putative	Tb11.47.0035	
Tb927.11.11310	Tb927.11.11310:mRNA	hypothetical protein, conserved	Tb11.01.3090	
Tb927.11.11330	Tb927.11.11330:mRNA	heat shock protein 70	Tb11.01.3110	
Tb927.11.11340	Tb927.11.11340:mRNA	gamma-tubulin complex component 3	Tb11.01.3150	
Tb927.11.11360	Tb927.11.11360:mRNA	receptor for activated C kinase 1	Tb11.01.3170	
Tb927.11.11380	Tb927.11.11380:mRNA	SUMO-interacting motif-containing protein	Tb11.01.3190	
Tb927.11.11390	Tb927.11.11390:mRNA	2OG-Fe(II) oxygenase superfamily, putative	Tb11.01.3200	
Tb927.11.11430	Tb927.11.11430:mRNA	cullin 1, putative	Tb11.01.3260	
Tb927.11.11460	Tb927.11.11460:mRNA	Mitochondrial import receptor subunit ATOM69	Tb11.01.3290	
Tb927.11.11480	Tb927.11.11480:mRNA	Trichohyalin, putative	Tb11.01.3320	
Tb927.11.1150	Tb927.11.1150:mRNA	radial spoke protein 3	Tb11.47.0034	
Tb927.11.11520	Tb927.11.11520:mRNA	glycosomal membrane protein	Tb11.01.3370	
Tb927.11.11550	Tb927.11.11550:mRNA	DNA topoisomerase II alpha, putative	Tb11.01.3390	
Tb927.11.11560	Tb927.11.11560:mRNA	DNA topoisomerase II beta, putative	Tb11.01.3390	
Tb927.11.11570	Tb927.11.11570:mRNA	Translation initiation factor eIF-2B subunit epsilon, putative	Tb11.01.3400	
Tb927.11.11580	Tb927.11.11580:mRNA	hypothetical protein, conserved	Tb11.01.3410	
Tb927.11.11590	Tb927.11.11590:mRNA	Eukaryotic translation initiation factor 3 subunit E	Tb11.01.3420	
Tb927.11.11600	Tb927.11.11600:mRNA	hypothetical protein, conserved	Tb11.01.3470	
Tb927.11.11650	Tb927.11.11650:mRNA	Centrosomal protein of 164 kDa, putative	Tb11.01.3520	
Tb927.11.11680	Tb927.11.11680:mRNA	2-oxoglutarate dehydrogenase E2 component, putative	Tb11.01.3550	
Tb927.11.11690	Tb927.11.11690:mRNA	Vacuolar proton pump subunit B, putative	Tb11.01.3560	
Tb927.11.11700	Tb927.11.11700:mRNA	nucleotidyl transferase, putative	Tb11.01.3570	
Tb927.11.11720	Tb927.11.11720:mRNA	FG-GAP repeat protein, putative	Tb11.01.3590	
Tb927.11.11740	Tb927.11.11740:mRNA	membrane-bound acid phosphatase, putative	Tb11.01.3610	
Tb927.11.11770	Tb927.11.11770:mRNA	Eukaryotic translation initiation factor 4E-3	Tb11.01.3630	
Tb927.11.11780	Tb927.11.11780:mRNA	acyl-CoA dehydrogenase, putative	Tb11.01.3640	
Tb927.11.11820	Tb927.11.11820:mRNA	40S ribosomal protein S17, putative	Tb11.01.3675	
Tb927.11.11850	Tb927.11.11850:mRNA	splicing factor 3B subunit 1, putative	Tb11.01.3690	
Tb927.11.11860	Tb927.11.11860:mRNA	leucine-rich repeat protein (LRRP), putative	Tb11.01.3700	
Tb927.11.11900	Tb927.11.11900:mRNA	Coatomer subunit gamma	Tb11.01.3740	
Tb927.11.11920	Tb927.11.11920:mRNA	molybdenum cofactor biosynthesis protein, putative	Tb11.01.3750	
Tb927.11.11940	Tb927.11.11940:mRNA	protein phosphatase 2A, putative	Tb11.01.3770	
Tb927.11.1200	Tb927.11.1200:mRNA	hypothetical protein, conserved	Tb11.47.0029	
Tb927.11.12030	Tb927.11.12030:mRNA	hypothetical protein, conserved	Tb11.01.3850	
Tb927.11.12040	Tb927.11.12040:mRNA	Cytochrome c oxidase component, putative	Tb11.01.3860	
Tb927.11.12060	Tb927.11.12060:mRNA	Peroxisomal biogenesis factor 11 (PEX11), putative	Tb11.01.3880	
Tb927.11.12070	Tb927.11.12070:mRNA	hypothetical protein, conserved	Tb11.01.3890	
Tb927.11.1210	Tb927.11.1210:mRNA	Domain of unknown function (DUF4470)/Domain of unknown function (DUF4471), putative	Tb11.47.0028	
Tb927.11.12150	Tb927.11.12150:mRNA	flagellar pocket cytoskeletal protein bilbo1	Tb11.01.3960	
Tb927.11.12160	Tb927.11.12160:mRNA	hypothetical protein, conserved	Tb11.01.3970	
Tb927.11.1220	Tb927.11.1220:mRNA	hypothetical protein, conserved	Tb11.47.0027	
Tb927.11.12210	Tb927.11.12210:mRNA	Domain of unknown function (DUF4586), putative	Tb11.01.4030	
Tb927.11.12220	Tb927.11.12220:mRNA	catalytic subunit of the vacuolar transporter chaperone 4	Tb11.01.4040	
Tb927.11.12230	Tb927.11.12230:mRNA	ATP-dependent protease ATPase subunit HslU2	Tb11.01.4050	
Tb927.11.12240	Tb927.11.12240:mRNA	cysteine peptidase, Clan CA, family C19, putative	Tb11.01.4060	
Tb927.11.12260	Tb927.11.12260:mRNA	hypothetical protein, conserved	Tb11.01.4080	
Tb927.11.12280	Tb927.11.12280:mRNA	hypothetical protein, conserved	Tb11.01.4100	
Tb927.11.12360	Tb927.11.12360:mRNA	ankyrin repeat protein, putative	Tb11.01.4180	
Tb927.11.12410	Tb927.11.12410:mRNA	kinetoplastid kinetochore protein 10	Tb11.01.4230	
Tb927.11.12440	Tb927.11.12440:mRNA	Plus-3 domain/Zinc finger, C3HC4 type (RING finger), putative	Tb11.01.4280	
Tb927.11.12470	Tb927.11.12470:mRNA	hypothetical protein, conserved	Tb11.01.4310	
Tb927.11.12480	Tb927.11.12480:mRNA	Kinetochore interacting phosphatase 7	Tb11.01.4320	
Tb927.11.12500	Tb927.11.12500:mRNA	hypothetical protein, conserved	Tb11.01.4340	
Tb927.11.12530	Tb927.11.12530:mRNA	Flagellum attachment zone protein 3	Tb11.01.4370	
Tb927.11.12540	Tb927.11.12540:mRNA	leucine-rich repeat protein (LRRP), putative	Tb11.01.4380, Tb11.01.4390	
Tb927.11.12630	Tb927.11.12630:mRNA	hypothetical protein, conserved	Tb11.01.4470	
Tb927.11.1270	Tb927.11.1270:mRNA	Mitochondrial ATP synthase subunit, putative	Tb11.47.0022	
Tb927.11.12720	Tb927.11.12720:mRNA	hypothetical protein, conserved	Tb11.01.4570	
Tb927.11.12790	Tb927.11.12790:mRNA	ribonucleoside-diphosphate reductase small chain	Tb11.v4.0004	
Tb927.11.12830	Tb927.11.12830:mRNA	acyl-CoA binding protein, putative	Tb11.52.0001	
Tb927.11.12860	Tb927.11.12860.1	cAMP response protein, putative	Tb11.52.0004	
Tb927.11.12860	Tb927.11.12860.2	cAMP response protein, putative	Tb11.52.0004	
Tb927.11.12880	Tb927.11.12880:mRNA	Present in the outer mitochondrial membrane proteome 17	Tb11.52.0006, Tb11.52.0008	
Tb927.11.1290	Tb927.11.1290:mRNA	hypothetical protein, conserved	Tb11.47.0020	
Tb927.11.12910	Tb927.11.12910:mRNA	prefoldin subunit, putative	Tb11.52.0009	
Tb927.11.12950	Tb927.11.12950:mRNA	ras-like small GTPase, putative	Tb11.52.0014	
Tb927.11.12970	Tb927.11.12970:mRNA	hypothetical protein, conserved	Tb11.52.0015	
Tb927.11.12980	Tb927.11.12980:mRNA	hypothetical protein, conserved	Tb11.52.0016	
Tb927.11.13010	Tb927.11.13010:mRNA	hypothetical protein	Tb11.01.4625	
Tb927.11.13020	Tb927.11.13020:mRNA	calmodulin	Tb11.01.4621	
Tb927.11.13120	Tb927.11.13120:mRNA	PUB domain containing protein, putative	Tb11.01.4700	
Tb927.11.13130	Tb927.11.13130:mRNA	membrane-bound acid phosphatase 1 precursor	Tb11.01.4701	
Tb927.11.13140	Tb927.11.13140:mRNA	cytochrome oxidase subunit X	Tb11.01.4702	
Tb927.11.13170	Tb927.11.13170:mRNA	hypothetical protein, conserved	Tb11.01.4720	
Tb927.11.13180	Tb927.11.13180:mRNA	Present in the outer mitochondrial membrane proteome 10	Tb11.01.4740	
Tb927.11.13190	Tb927.11.13190:mRNA	elongation factor 1 gamma, putative	Tb11.01.4750	
Tb927.11.13220	Tb927.11.13220:mRNA	phospholipid:diacylglycerol acyltransferase-like protein	Tb11.01.4790	
Tb927.11.13230	Tb927.11.13230:mRNA	VAMP-associated protein, putative	Tb11.01.4810	
Tb927.11.13250	Tb927.11.13250:mRNA	eukaryotic translation initiation factor 2 gamma, putative	Tb11.01.4830	
Tb927.11.13270	Tb927.11.13270:mRNA	hypothetical protein, conserved	Tb11.01.4850	
Tb927.11.13280	Tb927.11.13280:mRNA	mitochondrial RNA binding protein 2	Tb11.01.4860	
Tb927.11.13290	Tb927.11.13290:mRNA	mitochondrial import inner membrane translocase subunit tim17	Tb11.01.4870	
Tb927.11.13300	Tb927.11.13300:mRNA	Intraflagellar transport protein 25 homolog, putative	Tb11.01.4880	
Tb927.11.13310	Tb927.11.13310:mRNA	hypothetical protein, conserved	Tb11.01.4890	
Tb927.11.13340	Tb927.11.13340:mRNA	hypothetical protein, conserved	Tb11.01.4920	
Tb927.11.13360	Tb927.11.13360:mRNA	AAA ATPase, putative	Tb11.01.4940	
Tb927.11.13380	Tb927.11.13380:mRNA	ATP-dependent helicase, putative	Tb11.01.4960	
Tb927.11.13400	Tb927.11.13400:mRNA	Bromodomain, putative	Tb11.01.5000	
Tb927.11.13410	Tb927.11.13410:mRNA	hypothetical protein, conserved	Tb11.01.5010	
Tb927.11.13470	Tb927.11.13470:mRNA	PPPDE putative peptidase domain containing protein, putative	Tb11.01.5070	
Tb927.11.13500	Tb927.11.13500:mRNA	par1	Tb11.01.5100	
Tb927.11.13510	Tb927.11.13510:mRNA	hypothetical protein, conserved	Tb11.01.5110	
Tb927.11.13520	Tb927.11.13520:mRNA	hypothetical protein, conserved	Tb11.01.5120	
Tb927.11.13540	Tb927.11.13540:mRNA	hypothetical protein, conserved	Tb11.01.5140	
Tb927.11.13580	Tb927.11.13580:mRNA	ubiquinone biosynthesis protein-like protein	Tb11.01.5180	
Tb927.11.1360	Tb927.11.1360:mRNA	zinc-finger of a C2HC-type, putative	Tb11.47.0013	
Tb927.11.13600	Tb927.11.13600:mRNA	DnaJ domain containing protein, putative	Tb11.01.5190	
Tb927.11.13610	Tb927.11.13610:mRNA	rhodanese-like domain containing protein, putative	Tb11.01.5195	
Tb927.11.13620	Tb927.11.13620:mRNA	rhodanese-like domain containing protein, putative	Tb11.01.5200	
Tb927.11.13650	Tb927.11.13650:mRNA	cytochrome b5, putative	Tb11.01.5225	
Tb927.11.13660	Tb927.11.13660:mRNA	hypothetical protein, conserved	Tb11.01.5235	
Tb927.11.13670	Tb927.11.13670:mRNA	hypothetical protein, conserved	Tb11.01.5240	
Tb927.11.13690	Tb927.11.13690.1	Radial spoke protein 11	Tb11.01.5260	
Tb927.11.13690	Tb927.11.13690.2	Radial spoke protein 11	Tb11.01.5260	
Tb927.11.13710	Tb927.11.13710:mRNA	hypothetical protein, conserved	Tb11.01.5280	
Tb927.11.13740	Tb927.11.13740:mRNA	procyclic-enriched flagellar receptor adenylate cyclase 5	Tb11.01.5310	
Tb927.11.13750	Tb927.11.13750:mRNA	Ras-related protein Rab4	Tb11.01.5320	
Tb927.11.13780	Tb927.11.13780:mRNA	profilin	Tb11.01.5350	
Tb927.11.13790	Tb927.11.13790:mRNA	hypothetical protein, conserved	Tb11.01.5355	
Tb927.11.13810	Tb927.11.13810:mRNA	ATP- dependent RNA helicase, putative	Tb11.01.5370	
Tb927.11.13830	Tb927.11.13830:mRNA	DnaJ domain containing protein, putative	Tb11.01.5390	
Tb927.11.13840	Tb927.11.13840:mRNA	hypothetical protein, conserved	Tb11.01.5400	
Tb927.11.13890	Tb927.11.13890:mRNA	AKAP7 2'5' RNA ligase-like domain containing protein, putative	Tb11.01.5460	
Tb927.11.13910	Tb927.11.13910:mRNA	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit, putative	Tb11.01.5480	
Tb927.11.13920	Tb927.11.13920:mRNA	kinesin-II 85 Kd subunit, putative	Tb11.01.5490	
Tb927.11.13930	Tb927.11.13930:mRNA	U3 small nucleolar ribonucleoprotein protein IMP3, putative	Tb11.01.5500	
Tb927.11.13950	Tb927.11.13950:mRNA	Mut7-C RNAse domain containing protein, putative	Tb11.01.5530	
Tb927.11.13970	Tb927.11.13970:mRNA	Pab1p-dependent poly(A) ribonuclease subunit, putative	Tb11.01.5540	
Tb927.11.14020	Tb927.11.14020:mRNA	nuclear RNA binding domain 2	Tb11.01.5590	
Tb927.11.14030	Tb927.11.14030:mRNA	cyclin 9	Tb11.01.5600	
Tb927.11.14080	Tb927.11.14080:mRNA	cyclin 2	Tb11.01.5660	
Tb927.11.14090	Tb927.11.14090:mRNA	Double RNA binding domain protein 18	Tb11.01.5680	
Tb927.11.14100	Tb927.11.14100:mRNA	Double RNA-binding domain containing protein 4	Tb11.01.5690	
Tb927.11.14120	Tb927.11.14120:mRNA	phenylalanyl-tRNA synthetase alpha chain, putative	Tb11.01.5710	
Tb927.11.14130	Tb927.11.14130:mRNA	ribosomal protein L18, putative	Tb11.01.5720	
Tb927.11.14160	Tb927.11.14160:mRNA	Alpha/beta hydrolase family, putative	Tb11.01.5750	
Tb927.11.14170	Tb927.11.14170:mRNA	hypothetical protein, conserved	Tb11.01.5760	
Tb927.11.14190	Tb927.11.14190:mRNA	Staphylococcal nuclease homologue/Tudor domain containing protein, putative	Tb11.01.5780	
Tb927.11.1420	Tb927.11.1420:mRNA	hypothetical protein, conserved	Tb11.47.0007	
Tb927.11.14200	Tb927.11.14200:mRNA	ubiquitin-conjugating enzyme E2, putative	Tb11.01.5790	
Tb927.11.14210	Tb927.11.14210:mRNA	conserved protein	Tb11.01.5800	
Tb927.11.14220	Tb927.11.14220:mRNA	Regulator of ESAG9-1	Tb11.01.5820	
Tb927.11.14230	Tb927.11.14230:mRNA	Vps23 core domain containing protein, putative	Tb11.01.5840	
Tb927.11.14250	Tb927.11.14250:mRNA	T-complex protein 1, epsilon subunit, putative	Tb11.01.5860	
Tb927.11.14280	Tb927.11.14280:mRNA	septum formation protein MAF homologue, putative	Tb11.01.5890	
Tb927.11.14290	Tb927.11.14290:mRNA	vacuolar sorting protein, putative	Tb11.01.5900	
Tb927.11.1430	Tb927.11.1430:mRNA	Component of motile flagella 2	Tb11.47.0006	
Tb927.11.14300	Tb927.11.14300:mRNA	Dynein intermediate chain, axonemal	Tb11.01.5910	
Tb927.11.14330	Tb927.11.14330:mRNA	HECT-domain (ubiquitin-transferase), putative	Tb11.01.5930	
Tb927.11.14370	Tb927.11.14370:mRNA	Microtubule-associated protein 103 kDa	Tb11.01.5970	
Tb927.11.14380	Tb927.11.14380:mRNA	kinetoplast polyadenylation/uridylation factor 2	Tb11.01.5980	
Tb927.11.14430	Tb927.11.14430:mRNA	proteasome regulatory non-ATP-ase subunit	Tb11.01.6030	
Tb927.11.14440	Tb927.11.14440:mRNA	Pentatricopeptide repeat protein (PPR), putative	Tb11.01.6040	
Tb927.11.14460	Tb927.11.14460:mRNA	ADP-ribosylation factor GTPase activating protein 1, putative	Tb11.01.6060	
Tb927.11.14480	Tb927.11.14480:mRNA	ubiquitin carboxyl-terminal hydrolase, putative	Tb11.01.6080	
Tb927.11.14490	Tb927.11.14490:mRNA	RNA polymerase subunit, putative	Tb11.01.6090	
Tb927.11.1450	Tb927.11.1450:mRNA	2-oxoglutarate dehydrogenase E1 component, putative	Tb11.47.0004	
Tb927.11.14520	Tb927.11.14520:mRNA	Polypeptide deformylase 1	Tb11.01.6120	
Tb927.11.14560	Tb927.11.14560:mRNA	Cleavage and polyadenylation specificity factor CPSF160, putative	Tb11.01.6170	
Tb927.11.14570	Tb927.11.14570:mRNA	LicD family, putative	Tb11.01.6180	
Tb927.11.14580	Tb927.11.14580:mRNA	Bifunctional Monophosphate RNA Kinase/RNA guanylyltransferase	Tb11.01.6190	
Tb927.11.14590	Tb927.11.14590:mRNA	G5-interacting protein	Tb11.01.6200	
Tb927.11.14650	Tb927.11.14650:mRNA	SUMO-interacting motif-containing protein	Tb11.01.6280	
Tb927.11.14680	Tb927.11.14680:mRNA	phosphatidylinositol 3-related kinase, putative	Tb11.01.6300	
Tb927.11.14700	Tb927.11.14700:mRNA	hypothetical protein, conserved	Tb11.01.6320	
Tb927.11.14710	Tb927.11.14710:mRNA	rRNA processing, putative	Tb11.01.6340	
Tb927.11.14730	Tb927.11.14730:mRNA	Metalloprotease M41 FtsH, putative	Tb11.01.6360	
Tb927.11.14770	Tb927.11.14770:mRNA	hypothetical protein, conserved	Tb11.01.6400	
Tb927.11.14780	Tb927.11.14780:mRNA	phosphomannose isomerase	Tb11.01.6410	
Tb927.11.14870	Tb927.11.14870:mRNA	NAD+ synthase, putative	Tb11.01.6500	
Tb927.11.14880	Tb927.11.14880:mRNA	Paraflagellar Rod Proteome Component 9, putative	Tb11.01.6510	
Tb927.11.14900	Tb927.11.14900:mRNA	coatomer subunit epsilon	Tb11.01.6530	
Tb927.11.14910	Tb927.11.14910:mRNA	protein phosphatase 2C, putative	Tb11.01.6540	
Tb927.11.14920	Tb927.11.14920:mRNA	hypothetical protein, conserved	Tb11.01.6550	
Tb927.11.14950	Tb927.11.14950:mRNA	zinc finger protein 2	Tb11.01.6590	
Tb927.11.14960	Tb927.11.14960:mRNA	pumilio/PUF RNA binding protein 7, putative	Tb11.01.6600	
Tb927.11.14970	Tb927.11.14970:mRNA	hypothetical protein, conserved	Tb11.01.6610	
Tb927.11.15000	Tb927.11.15000:mRNA	survival of motor neuron (SMN)-like protein	Tb11.01.6640	
Tb927.11.15010	Tb927.11.15010:mRNA	Serine/threonine-protein kinase NEK21, putative	Tb11.01.6650	
Tb927.11.15020	Tb927.11.15020:mRNA	iron superoxide dismutase	Tb11.01.6660	
Tb927.11.15030	Tb927.11.15030:mRNA	small GTPase	Tb11.01.6670	
Tb927.11.15040	Tb927.11.15040:mRNA	Chaperonin HSP60, mitochondrial	Tb11.01.6680	
Tb927.11.15080	Tb927.11.15080:mRNA	Transmembrane proteins 14C, putative	Tb11.01.6715	
Tb927.11.15100	Tb927.11.15100:mRNA	Tb5.20	Tb11.01.6740	
Tb927.11.15120	Tb927.11.15120:mRNA	hypothetical protein, conserved	Tb11.01.6770	
Tb927.11.15130	Tb927.11.15130:mRNA	DnaJ homolog, putative	Tb11.01.6780	
Tb927.11.15140	Tb927.11.15140:mRNA	bilobe region protein, putative	Tb11.01.6790	
Tb927.11.15150	Tb927.11.15150:mRNA	1-acyl-sn-glycerol-3-phosphate acyltransferase, putative	Tb11.01.6800	
Tb927.11.15180	Tb927.11.15180:mRNA	hypothetical protein, conserved	Tb11.01.6835	
Tb927.11.15190	Tb927.11.15190:mRNA	Domain of unknown function (DUF4200), putative	Tb11.01.6840	
Tb927.11.15220	Tb927.11.15220:mRNA	hypothetical protein, conserved	Tb11.01.6870	
Tb927.11.15230	Tb927.11.15230:mRNA	cytosolic coat protein, putative	Tb11.01.6880	
Tb927.11.15240	Tb927.11.15240:mRNA	Ras-related protein RAB2B, putative	Tb11.01.6890	
Tb927.11.15270	Tb927.11.15270:mRNA	phosphopantetheine adenylyltransferase, putative	Tb11.01.6920	
Tb927.11.15360	Tb927.11.15360:mRNA	hypothetical protein, conserved	Tb11.01.7005	
Tb927.11.15370	Tb927.11.15370:mRNA	Importin subunit beta-4, putative	Tb11.01.7010	
Tb927.11.1540	Tb927.11.1540:mRNA	isovaleryl-CoA dehydrogenase	Tb11.55.0026	
Tb927.11.15420	Tb927.11.15420:mRNA	eukaryotic translation initiation factor 3 subunit k	Tb11.01.7070	
Tb927.11.15430	Tb927.11.15430:mRNA	U5 small nuclear ribonucleoprotein component, putative	Tb11.01.7080	
Tb927.11.15450	Tb927.11.15450:mRNA	Basal body protein	Tb11.01.7095	
Tb927.11.15550	Tb927.11.15550:mRNA	NADH-cytochrome b5 reductase, putative	Tb11.01.7190	
Tb927.11.15560	Tb927.11.15560:mRNA	Nucleoporin NUP53a	Tb11.01.7200	
Tb927.11.1560	Tb927.11.1560:mRNA	1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative	Tb11.55.0024	
Tb927.11.15630	Tb927.11.15630:mRNA	NOL1/NOP2/sun family, putative	Tb11.01.7280	
Tb927.11.15680	Tb927.11.15680:mRNA	hypothetical protein, conserved	Tb11.01.7325	
Tb927.11.15730	Tb927.11.15730:mRNA	cyclic nucleotide-binding domain containing protein, putative	Tb11.01.7370	
Tb927.11.15750	Tb927.11.15750:mRNA	AMP deaminase, putative	Tb11.01.7390	
Tb927.11.15760	Tb927.11.15760:mRNA	GPI transamidase subunit Tta1	Tb11.01.7400	
Tb927.11.15800	Tb927.11.15800:mRNA	Cytokinesis initiation factor 1	Tb11.01.7450	
Tb927.11.15820	Tb927.11.15820:mRNA	iron superoxide dismutase C, mitochondrial	Tb11.01.7480	
Tb927.11.15830	Tb927.11.15830:mRNA	RNA methyltransferase, putative	Tb11.01.7490	
Tb927.11.15840	Tb927.11.15840:mRNA	L-Lysine transport protein, putative	Tb11.01.7500	
Tb927.11.15850	Tb927.11.15850:mRNA	kinteoplast poly(A) polymerase complex 1 subunit	Tb11.01.7510	
Tb927.11.15880	Tb927.11.15880:mRNA	60S ribosomal protein L27, putative	Tb11.01.7535	
